path,group,grid,run,crashed,started,finished
WDRE,PSA/RMI_Aux_poly,0,0,False,31-01-2023T19:26:23,31-01-2023T23:05:02
WDRE,PSA/RMI_Aux_poly,0,1,False,31-01-2023T23:05:02,01-02-2023T06:29:18
test/WDRE,PSA/RMI_Aux_exp,0,0,False,08-02-2023T15:48:32,
WDRE,PSA/RMI_Aux_exp,0,0,False,08-02-2023T12:13:55,
WDRE,PSA/RMI_Aux_exp,0,1,False,01-02-2023T18:54:20,01-02-2023T22:03:41
WDRE,PSA/RMI_Aux_exp,0,2,False,01-02-2023T22:03:41,01-02-2023T23:26:21
WDRE,PSA/RMI_Aux_exp,0,3,False,01-02-2023T23:26:22,02-02-2023T02:09:58
WDRE,PSA/RMI_Aux_exp_min,0,0,False,03-02-2023T17:28:10,03-02-2023T19:32:53
WDRE,PSA/RMI_Aux_exp_min,0,1,False,03-02-2023T19:32:53,03-02-2023T22:10:20
WDRE,PSA/RMI_Aux_exp_min,0,2,False,03-02-2023T22:10:20,03-02-2023T23:59:48
test/WDRE,PSA/RMI_Aux_exp_min,0,0,False,05-02-2023T16:10:15,05-02-2023T17:28:19
test/WDRE,PSA/HrnetPSAweeder,0,0,False,06-02-2023T17:12:04,
WDRE,PSA/HrnetPSAweeder,0,0,False,06-02-2023T10:43:05,06-02-2023T11:50:29
test/WDRE,PSA/HrnetPSAweeder,1,0,False,05-02-2023T19:03:31,05-02-2023T19:06:45
test/WDRE,PSA/HrnetPSAweeder,2,0,False,05-02-2023T19:06:45,05-02-2023T19:09:54
WDRE,PSA/HrnetPSAweeder,1,0,False,05-02-2023T20:47:43,05-02-2023T22:42:36
WDRE,PSA/HrnetPSAweeder,2,0,True,05-02-2023T22:42:36,06-02-2023T00:21:06
WDRE,PSA/HrnetPSAweeder/VariableLoss,0,0,False,06-02-2023T17:15:31,06-02-2023T19:31:00
WDRE,test/PSA/HrnetPSAweeder/VariableLoss,0,0,False,07-02-2023T11:48:14,
WDRE,PSA/RMI_Aux_exp,1,0,False,07-02-2023T19:30:07,07-02-2023T21:17:50
WDRE,PSA/RMI_Aux_exp,2,0,False,07-02-2023T21:17:50,07-02-2023T23:21:04
test/WDRE,PSAWeeder/Pretrained,0,0,False,08-02-2023T17:05:18,08-02-2023T21:18:52
test/WDRE,PSAWeeder/Pretrained,1,0,False,08-02-2023T21:18:53,08-02-2023T23:08:56
test/WDRE,PSAWeeder/Pretrained,2,0,False,08-02-2023T23:08:56,09-02-2023T03:42:26
test/WDRE,PIDNet,0,0,True,09-02-2023T17:39:03,09-02-2023T17:39:27
test/WDRE,KD/LAwin,0,0,False,10-02-2023T11:45:41,
WDRE,KD/Lawin,0,0,False,10-02-2023T18:14:06,10-02-2023T21:16:58
test/WDRE,KD/Lawin,0,0,False,10-02-2023T17:09:52,10-02-2023T17:11:40
test/WDRE,KD/Lawin,0,1,False,10-02-2023T17:11:40,10-02-2023T17:13:19
test/WDRE,KD/Lawin,0,2,False,10-02-2023T17:13:19,10-02-2023T17:14:59
test/WDRE,KD/Lawin,1,0,False,10-02-2023T17:49:47,10-02-2023T17:51:52
test/WDRE,KD/Lawin,1,1,False,10-02-2023T17:51:52,10-02-2023T17:53:44
test/WDRE,KD/Lawin,1,2,False,10-02-2023T17:53:44,10-02-2023T17:55:35
test/WDRE,KD/Lawin,2,0,False,10-02-2023T17:55:35,10-02-2023T17:57:32
test/WDRE,KD/Lawin,2,1,False,10-02-2023T17:57:32,10-02-2023T17:59:23
test/WDRE,KD/Lawin,2,2,False,10-02-2023T17:59:24,10-02-2023T18:01:16
WDRE,KD/Lawin,0,1,False,10-02-2023T21:16:58,11-02-2023T01:08:58
WDRE,KD/Lawin,0,2,False,11-02-2023T01:08:58,11-02-2023T04:13:30
WDRE,KD/Lawin,1,0,False,11-02-2023T04:13:31,11-02-2023T07:38:02
WDRE,KD/Lawin,1,1,False,11-02-2023T07:38:02,11-02-2023T09:38:24
WDRE,KD/Lawin,1,2,False,11-02-2023T09:38:24,11-02-2023T12:39:08
WDRE,KD/Lawin,2,0,False,11-02-2023T12:39:08,11-02-2023T17:14:22
WDRE,KD/Lawin,2,1,False,11-02-2023T17:14:23,11-02-2023T21:10:24
WDRE,KD/Lawin,2,2,False,11-02-2023T21:10:25,11-02-2023T23:11:12
WDRE,LightLawin,0,0,False,13-02-2023T12:06:17,13-02-2023T13:07:08
WDRE,LightLawin,0,1,False,13-02-2023T13:07:08,13-02-2023T13:59:38
WDRE,LightLawin,0,2,False,13-02-2023T13:59:38,13-02-2023T14:43:32
WDRE,LightLawin,1,0,False,13-02-2023T14:43:32,13-02-2023T16:11:08
WDRE,LightLawin,1,1,False,13-02-2023T16:11:08,13-02-2023T16:59:26
WDRE,LightLawin,1,2,False,13-02-2023T16:59:26,13-02-2023T17:37:17
WDRE,LightLawin,2,0,False,13-02-2023T17:37:17,13-02-2023T18:29:27
WDRE,LightLawin,2,1,False,13-02-2023T18:29:27,13-02-2023T19:18:52
WDRE,LightLawin,2,2,False,13-02-2023T19:18:52,13-02-2023T19:45:36
test/WDRE,KD/AdaptiveLoss,0,0,False,14-02-2023T15:16:18,14-02-2023T15:20:21
test/WDRE,KD/AdaptiveLoss,0,1,False,15-02-2023T15:14:27,15-02-2023T15:23:44
test/WDRE,KD/AdaptiveLoss,0,2,False,14-02-2023T15:24:11,14-02-2023T15:27:56
WDRE,KD/AdaptiveLoss,0,0,False,14-02-2023T15:47:22,14-02-2023T17:24:27
WDRE,KD/AdaptiveLoss,0,1,False,15-02-2023T11:42:25,15-02-2023T13:52:56
WDRE,KD/AdaptiveLoss,0,2,False,14-02-2023T22:32:01,15-02-2023T00:35:45
WDRE,KD/AdaptiveLoss,1,0,False,15-02-2023T15:35:09,15-02-2023T17:06:59
WDRE,KD/AdaptiveLoss,1,1,False,15-02-2023T17:06:59,15-02-2023T19:11:50
WDRE,KD/AdaptiveLoss,1,2,False,15-02-2023T19:11:50,15-02-2023T21:10:37
WDRE,KD/AdaptiveLoss,2,0,False,14-02-2023T03:08:50,14-02-2023T03:49:22
WDRE,KD/AdaptiveLoss,2,1,False,14-02-2023T03:49:22,14-02-2023T04:14:36
WDRE,KD/AdaptiveLoss,2,2,False,14-02-2023T04:14:36,14-02-2023T04:38:45
WDRE,KD/AdaptiveLossFixed,0,0,False,14-02-2023T12:44:06,
test/WDRE,KD/AdaptiveLossFixed,0,0,False,14-02-2023T12:57:15,
test/WDRE,KD/AdaptiveLossFixed,1,0,False,14-02-2023T12:59:37,
test/WDRE,KD/AdaptiveLossFixed,2,0,False,14-02-2023T14:43:13,14-02-2023T14:46:11
test/WDRE,KD/AdaptiveLossFixed,2,1,False,14-02-2023T14:46:11,
test/WDRE,KD/AdaptiveLossFixed,3,0,False,14-02-2023T15:11:39,
test/WDRE,KD/AdaptiveLossFixed,3,1,False,14-02-2023T15:08:13,
test/WDRE,KD/AdaptiveLoss,0,3,False,14-02-2023T15:27:56,
WDRE,KD/AdaptiveLoss,0,3,True,15-02-2023T00:35:45,15-02-2023T00:35:59
test/WDRE,KD/AdaptiveLoss,1,0,False,15-02-2023T15:23:44,15-02-2023T15:33:00
test/WDRE,KD/AdaptiveLoss,1,1,False,15-02-2023T15:33:00,
WDRE,KD/AdaptiveLoss,1,3,False,15-02-2023T21:10:37,15-02-2023T22:44:42
WDRE,KD/AdaptiveLoss/Sigmoid,0,0,False,16-02-2023T12:36:48,16-02-2023T14:14:46
WDRE,KD/AdaptiveLoss/Sigmoid,0,1,False,16-02-2023T14:14:46,16-02-2023T15:15:33
WDRE,KD/AdaptiveLoss/Sigmoid,1,0,False,16-02-2023T15:15:33,16-02-2023T17:24:04
WDRE,KD/AdaptiveLoss/Sigmoid,1,1,False,16-02-2023T17:24:04,16-02-2023T19:44:38
WDRE,KD/AdaptiveLoss/Sigmoid,1,2,False,16-02-2023T19:44:38,16-02-2023T20:46:49
WDRE,KD/AdaptiveLoss/Sigmoid,1,3,False,16-02-2023T20:46:49,16-02-2023T23:14:59
test/WDRE,KD/AdaptiveLoss/Sigmoid/Momentum,0,0,False,17-02-2023T13:14:35,
WDRE,KD/AdaptiveLoss/Sigmoid/Momentum,0,0,True,18-02-2023T19:49:28,18-02-2023T19:50:40
WDRE,KD/AdaptiveLoss/Sigmoid/Momentum,0,1,False,17-02-2023T20:14:11,17-02-2023T22:07:43
WDRE,KD/AdaptiveLoss/Sigmoid/Momentum,1,0,False,18-02-2023T09:22:18,18-02-2023T11:39:49
WDRE,KD/AdaptiveLoss/Sigmoid/Momentum,1,1,False,18-02-2023T11:39:50,18-02-2023T14:20:08
WDRE,KD/AdaptiveLoss/Sigmoid/Momentum,1,2,False,18-02-2023T14:20:08,18-02-2023T16:31:57
test/weedmapping-rededge,RandomRotation,0,0,True,26-05-2023T11:51:47,26-05-2023T11:51:52
test,RandomRotation,0,0,False,26-05-2023T15:11:34,
test,SplitLawin,0,0,False,26-05-2023T16:57:06,26-05-2023T17:04:55
test,SplitLawin,0,1,False,26-05-2023T17:04:56,
test,SplitLawinFineTune,0,0,False,26-05-2023T16:09:38,
test,SplitLawinFineTune,0,1,False,26-05-2023T15:51:43,
test,DLPretrainedDrop,0,0,False,26-05-2023T16:07:40,
weedmapping-rededge,SplitLawin,0,0,False,01-06-2023T17:43:33,01-06-2023T22:03:13
weedmapping-rededge,SplitLawin,0,1,False,01-06-2023T22:03:13,02-06-2023T01:18:54
weedmapping-rededge,SplitLawin,0,2,False,02-06-2023T01:18:55,02-06-2023T04:39:55
weedmapping-rededge,SplitLawin,0,3,False,02-06-2023T04:39:56,02-06-2023T08:15:02
weedmapping-rededge,SplitLawin,0,4,False,02-06-2023T08:15:02,02-06-2023T10:35:01
weedmapping-rededge,SplitLawin,0,5,False,02-06-2023T10:35:01,02-06-2023T13:09:56
weedmapping-rededge,SplitLawin,0,6,False,02-06-2023T13:09:56,02-06-2023T13:57:39
weedmapping-rededge,SplitLawin,0,7,False,02-06-2023T13:57:39,02-06-2023T15:03:54
weedmapping-rededge,SplitLawin,1,0,False,27-05-2023T14:36:59,27-05-2023T16:47:08
weedmapping-rededge,SplitLawin,1,1,False,27-05-2023T16:47:08,27-05-2023T18:31:21
weedmapping-rededge,SplitLawin,1,2,False,27-05-2023T18:31:21,27-05-2023T19:59:52
weedmapping-rededge,SplitLawin,1,3,False,27-05-2023T19:59:52,27-05-2023T20:52:11
weedmapping-rededge,SplitLawin,1,4,False,27-05-2023T20:52:11,27-05-2023T22:00:56
weedmapping-rededge,SplitLawin,1,5,False,27-05-2023T22:00:57,27-05-2023T23:18:15
weedmapping-rededge,SplitLawin,1,6,False,27-05-2023T23:18:15,28-05-2023T00:24:12
weedmapping-rededge,SplitLawin,1,7,False,28-05-2023T00:24:12,28-05-2023T01:44:47
weedmapping-rededge,SplitLawinFineTune,0,3,False,30-05-2023T13:14:36,30-05-2023T14:04:02
weedmapping-rededge,DLPretrainedDrop,0,0,True,03-07-2023T10:20:05,03-07-2023T10:20:24
weedmapping-rededge,DLPretrainedDrop,0,1,False,29-05-2023T09:57:25,29-05-2023T10:48:33
weedmapping-rededge,DLPretrainedDrop,0,2,False,29-05-2023T10:48:33,29-05-2023T11:34:49
weedmapping-rededge,DLPretrainedDrop,0,3,False,29-05-2023T11:34:49,29-05-2023T12:22:29
weedmapping-rededge,DLPretrainedDrop,0,4,False,29-05-2023T12:22:29,29-05-2023T13:14:32
weedmapping-rededge,DLPretrainedDrop,0,5,False,29-05-2023T13:14:32,29-05-2023T14:18:45
weedmapping-rededge,DLPretrainedDrop,0,6,False,29-05-2023T14:18:45,29-05-2023T15:20:51
weedmapping-rededge,DLPretrainedDrop,0,7,False,29-05-2023T15:20:51,29-05-2023T16:17:39
weedmapping-rededge,DLPretrainedDrop,1,0,False,29-05-2023T16:17:39,29-05-2023T17:13:57
weedmapping-rededge,DLPretrainedDrop,1,1,False,29-05-2023T17:13:57,29-05-2023T18:13:04
weedmapping-rededge,DLPretrainedDrop,1,2,False,29-05-2023T18:13:04,29-05-2023T19:26:16
weedmapping-rededge,DLPretrainedDrop,1,3,False,29-05-2023T19:26:17,29-05-2023T20:34:49
weedmapping-rededge,DLPretrainedDrop,1,4,False,29-05-2023T20:34:50,29-05-2023T22:01:37
weedmapping-rededge,DLPretrainedDrop,1,5,False,29-05-2023T22:01:37,29-05-2023T23:21:12
weedmapping-rededge,DLPretrainedDrop,1,6,False,29-05-2023T23:21:12,30-05-2023T00:13:21
weedmapping-rededge,DLPretrainedDrop,1,7,False,30-05-2023T00:13:21,30-05-2023T01:35:19
test/weedmapping-rededge,SplitLawin,0,0,True,01-06-2023T17:42:20,01-06-2023T17:42:24
weedmapping-rededge,SplitLawin,0,8,False,02-06-2023T15:03:54,02-06-2023T16:04:05
weedmapping-rededge,SplitLawin,0,9,False,02-06-2023T16:04:05,02-06-2023T17:07:04
weedmapping-rededge,SplitLawin,0,10,False,02-06-2023T17:07:04,02-06-2023T18:09:51
weedmapping-rededge,SplitLawin,0,11,False,02-06-2023T18:09:51,02-06-2023T19:15:40
weedmapping-rededge,SplitLawin,0,12,False,02-06-2023T19:15:40,02-06-2023T21:50:22
weedmapping-rededge,SplitLawin,0,13,False,02-06-2023T21:50:22,03-06-2023T03:17:46
weedmapping-rededge,SplitLawin,0,14,False,03-06-2023T03:17:47,03-06-2023T05:32:02
weedmapping-rededge,SplitLawin,0,15,False,03-06-2023T05:32:02,03-06-2023T07:14:43
weedmapping-rededge,SplitLawin,0,16,False,03-06-2023T07:14:43,03-06-2023T08:41:00
weedmapping-rededge,SplitLawin,0,17,False,03-06-2023T08:41:00,03-06-2023T10:43:29
weedmapping-rededge,SplitLawin,0,18,False,03-06-2023T10:43:30,03-06-2023T12:41:34
weedmapping-rededge,SplitLawin,0,19,False,03-06-2023T12:41:35,03-06-2023T15:21:23
weedmapping-rededge,SplitLawin,0,20,False,03-06-2023T15:21:23,03-06-2023T18:10:48
weedmapping-rededge,SplitLawin,0,21,False,05-06-2023T10:41:14,05-06-2023T11:32:39
weedmapping-rededge,SplitLawin,0,22,False,05-06-2023T11:32:39,05-06-2023T13:06:54
weedmapping-rededge,SplitLawin,0,23,False,05-06-2023T13:06:54,05-06-2023T14:33:36
weedmapping-rededge,DoubleLawin,0,0,False,07-06-2023T12:09:20,07-06-2023T13:25:22
weedmapping-rededge,DoubleLawin,0,1,False,07-06-2023T13:25:22,07-06-2023T14:40:54
weedmapping-rededge,DoubleLawin,0,2,False,07-06-2023T14:40:54,07-06-2023T15:47:53
weedmapping-rededge,DoubleLawin,0,3,False,07-06-2023T15:47:53,07-06-2023T18:55:39
weedmapping-rededge,DoubleLawin,0,4,False,07-06-2023T18:55:39,07-06-2023T23:54:47
weedmapping-rededge,DoubleLawin,0,5,False,07-06-2023T23:54:47,08-06-2023T01:24:36
weedmapping-rededge,DoubleLawin,0,6,False,08-06-2023T01:24:36,08-06-2023T03:06:59
weedmapping-rededge,DoubleLawin,0,7,False,08-06-2023T03:06:59,08-06-2023T04:26:23
weedmapping-rededge,DoubleLawin,0,8,False,08-06-2023T04:26:23,08-06-2023T05:19:54
weedmapping-rededge,DoubleLawin,0,9,False,08-06-2023T05:19:54,
